basin,nse,kge
2050028110,0.4859700335278262,0.7567730173674528
2050029320,0.2593145065165843,0.7202116684213714
2050030060,0.8453925561409392,0.9335881232015244
2050030100,0.9024117278873737,0.9506761545103964
2050030260,0.0010677924972899433,0.4936405260597774
2050030480,0.25433252779077564,0.6170396503128842
2050030650,0.739005170524112,0.8805099159060406
2050031060,0.471163351804445,0.7695764431840645
2050031490,0.4901441908877817,0.7610807287542586
2050031740,-1.0508614112349153,0.009448909957008644
2050031960,-2.2546615644499814,0.3193332385814599
2050032670,0.41301722635281246,0.7250088444187021
2050033010,0.1936722597098509,0.6709428254200482
2050033320,0.35487715043588364,0.6585051632736411
2050033490,0.849579542003664,0.9262360981911227
2050033670,0.4527334930436351,0.7361336463685136
2050039390,-6.466171135007116,0.26991219829628954
2050358250,0.4168979717680701,0.7929905367923692
2050362600,0.6444607233102495,0.8201574916957425
2050374390,0.36196610037681887,0.6657127828397907
2050379690,0.6495473003874714,0.8414805597001465
2050420240,0.9011978776682172,0.9500201792459881
2050429670,0.8471628977220597,0.9299609539447824
2050429790,0.5192646321144452,0.7878393736446296
2050441290,0.8054897896526918,0.9039909926061326
2050465610,0.7485212789854281,0.8963443263685006
2050465720,0.8266635190090064,0.9209922346722725
2050476910,0.6425232136460877,0.8284224969845971
2050478420,0.6188972219551839,0.8207554319574445
2050491750,0.8079012735476345,0.9086330194948476
2050491760,0.8324797899659605,0.9172106432714998
2050502920,0.8383971693428305,0.9167624973240058
2050540100,-0.46373224804639435,0.7474475861695578
2050555780,0.4738704799042994,0.7675609490686072
2050557800,0.6567387265427937,0.8439451790011268
2050816870,-26.19677610131307,0.40523277012002845
2050828790,-5.685448855944844,0.39810783697476215
2060017000,0.5030453807326164,0.7832598281158794
2060017480,-1.9106801458603386,-0.06564302888844709
2060017690,-144.7688285484815,0.5546133562961061
2060022970,0.8408443797049193,0.923279617143352
2060023940,0.8252711915202284,0.9088234154697042
2060029320,0.2593145065165843,0.7202116684213714
2060030260,0.0010677924972899433,0.4936405260597774
2060030480,0.25433252779077564,0.6170396503128842
2060030650,0.739005170524112,0.8805099159060406
2060031160,0.4700116186820208,0.7423244345269602
2060031210,0.48775383122214466,0.7427097554912748
2060031310,-0.8263361408472945,0.39387852215226493
2060031410,0.6427888431326294,0.8112754961555596
2060031490,0.4901441908877817,0.7610807287542586
2060031740,-1.0508614112349153,0.009448909957008644
2060031960,-2.2546615644499814,0.3193332385814599
2060032670,0.41301722635281246,0.7250088444187021
2060033010,0.1936722597098509,0.6709428254200482
2060033670,0.4527334930436351,0.7361336463685136
2060033890,-5.351767486618861,0.6009292279816265
