basin,nse,kge,topo_lv,routing_lv
4051098480,NaN,NaN,7,2
4050313840,NaN,NaN,7,1
5050525750,0.022504595901578606,-0.37770009558171247,7,2
6050262110,NaN,NaN,7,11
6050594780,-0.24193546978464964,0.2478140984981997,7,1
6050562020,-1.0853423302117902,0.032392207665537964,7,7
7050632220,0.2627732606008534,0.17688146759030732,7,1
7050632150,-14.717811487811705,-0.2132548908865899,7,7
7050305410,NaN,NaN,7,1
7050305280,-1.5420576964878627,0.09008190362525359,7,2
7050194860,-1.425929063748037,-0.44135449078119837,7,5
7050194980,-0.29132368978422196,0.2618534362653393,7,3
7050206680,0.3066665842168026,0.4308301202892908,7,1
7050632870,-0.09594902427425822,-0.36803164963200086,7,1
8050224890,NaN,NaN,7,1
8050231190,0.9274756573874386,0.8949007758658781,7,1
8050231240,-0.9908385088982277,-0.11941417372571261,7,3
1051438780,-2.618671325637714,-0.42315869589728217,8,5
1051616230,0.29103648878403754,0.19618806007020684,8,2
1051616280,NaN,NaN,8,1
1050644790,NaN,NaN,8,5
1050644920,NaN,NaN,8,6
1051435100,NaN,NaN,8,2
2050397580,NaN,NaN,8,4
2050548700,-0.09654368682478043,0.4510504940473936,8,6
2050548500,0.5602197790784402,0.6325432940173663,8,5
2050289120,NaN,NaN,8,6
4051073830,NaN,NaN,8,6
4051073760,NaN,NaN,8,1
4050549780,NaN,NaN,8,1
6050325720,0.48739480661625556,0.5800475781497296,8,4
6050476790,0.7033227134254991,0.613027251199148,8,6
6050595200,-0.6460823376777365,0.13296835802198037,8,6
6050837910,NaN,NaN,8,18
7050608130,0.5044511899393354,0.5985414584883094,8,1
7050445160,-1.0949773858334497,0.042855586028326176,8,2
7050445150,0.1976888899916529,0.3413937919562451,8,1
7050256540,0.4982928202535978,0.6322653145646413,8,1
7050256690,0.5061554858552259,0.4081594041564197,8,2
7050250980,NaN,NaN,8,3
7050250990,-0.18187924906006425,0.5239122147553076,8,1
7050612840,0.12099613809614784,0.5026362728588349,8,6
7050612640,0.6722580978790583,0.5708977767572372,8,5
8050196880,NaN,NaN,8,1
1051577000,NaN,NaN,9,1
1051608860,0.25812470777864893,0.17580946512892204,9,1
1051052780,-0.47860442883591836,-0.09596069297753651,9,4
1051052770,0.31313887288409337,0.6793561267091268,9,1
1051235380,NaN,NaN,9,2
1050667360,NaN,NaN,9,5
1050667560,NaN,NaN,9,1
2050539930,-0.7506626384871327,0.3158692627397054,9,5
2050540100,0.5668954943710371,0.6954137441230169,9,1
2050525040,0.11359159002313624,0.4675220506042994,9,1
4051043580,NaN,NaN,9,5
6050405310,0.2674592243314009,0.5893918862558392,9,1
6050405320,0.7489789678693,0.7793872726407715,9,3
6050527670,0.817788072176161,0.8237909310846894,9,1
6050527680,0.8345225962815318,0.7688443374279532,9,5
6050639910,0.7144398662732441,0.775304779619777,9,1
7050585120,0.8032490569131141,0.8875046400012424,9,1
7050585110,-0.8750354223274768,-0.2076204432249522,9,5
7050466540,-0.2717824395653632,0.08268915182023662,9,1
7050208410,-0.4442106665275829,-0.04817959174251385,9,3
7050208540,-0.2195516610906867,-0.22639245013269504,9,1
7050282770,0.6696060991566068,0.7454887668592862,9,1
7050282720,0.27962596558081987,0.4674863011245486,9,1
7050284070,0.1064359047054676,0.2890750013316058,9,2
7050284240,-3.125309038941106,-0.47820025772394525,9,1
7050392520,NaN,NaN,9,5
7050569640,-0.9558646464473082,0.06173712129484765,9,5
7050569650,NaN,NaN,9,5
7050610850,0.6231675705597202,0.7840271924643503,9,1
8050259520,-24.328400927871044,-3.2863142110733197,9,1
8050259590,0.3941898045974259,0.3261979110293234,9,1
8050231700,NaN,NaN,9,13
1051412570,NaN,NaN,10,3
1051412560,-6.915460144762581,-1.1985652688644937,10,1
1051103500,0.594497532173722,0.4716860718018895,10,1
1050742280,-4.1650772615475065,-1.5741872047632173,10,1
1050742220,NaN,NaN,10,12
1050677890,NaN,NaN,10,1
1050677900,NaN,NaN,10,4
2050514730,0.6040550098070143,0.6010556582547022,10,3
3050458510,0.5220035713656944,0.3808816454200048,10,2
3050337380,NaN,NaN,10,16
3050462780,NaN,NaN,10,1
4050150480,NaN,NaN,10,1
4050544080,NaN,NaN,10,1
6050457840,0.6510546914401427,0.5951008348203741,10,2
6050550960,0.6155429485583359,0.5692850109575989,10,4
7050539540,0.7055234941010351,0.8521589926830412,10,1
7050184430,0.20903808490232312,0.24234079126890706,10,2
7050184580,0.06447887132585428,-0.12053786803877697,10,1
7050289500,0.5419148350547089,0.4370819838681217,10,1
7050289200,0.6685960164945437,0.7067873380439591,10,1
7050562140,NaN,NaN,10,1
7050562040,-1.880065794650649,0.13742958193269417,10,4
7050566040,0.5654294669085733,0.6510830355165063,10,1
7050609780,0.44824813230461225,0.6095205948926878,10,1
8050243400,NaN,NaN,10,12
8050150960,0.620809521493781,0.7138113863009434,10,1
2050488190,NaN,NaN,11,3
