basin,relative_diff,glofas_area,grdc_area
7060488160,0.16207959309559317,3.8739395e9,3841.0
7060488320,0.07640455954381492,9.200723e7,5780.89990234375
7060492010,0.18398606455703287,6.544922e9,6490.5
7060503090,0.1849735783560639,2.4787018e10,24731.900390625
7060505540,0.21795682394503935,3.7687837e10,37088.80078125
7060514260,0.24089126342426226,5.1546465e9,5415.7001953125
7060514270,0.26741512574468596,6.272955e9,5941.5
7060519270,0.18833042891590662,1.7641345e10,17733.69921875
7060527760,0.06078801649271331,7.224221e9,7267.5
7060529340,0.13095296056073444,2.9555317e10,29551.900390625
7060533210,0.27475281216146347,4.211851e9,4236.7001953125
7060540990,0.1421261945121436,1.3159676e10,13190.900390625
7060555510,0.07359355318560769,1.9604142e10,19223.0
7060556150,0.13564047191824502,1.791575e10,17819.19921875
7060559710,0.18502393840179093,2.073242e9,2116.0
7060563480,0.09610744310370357,4.972221e10,49883.3984375
7060573680,0.16584743772340932,1.9042435e10,18821.5
7060575000,0.07461844341082487,3.5517305e10,36260.0
7060579270,0.18313918603541013,2.8947567e10,28813.80078125
7060579820,0.524747303504067,9.990077e9,9810.900390625
7060585430,0.5906745965027118,9.713028e7,5563.2998046875
7060591780,0.10300531075344647,7.997033e9,8034.2001953125
7060597680,0.12012387223326935,4.2383288e9,4193.2001953125
7060626100,0.32167387494768257,1.2756034e10,13183.099609375
7060675410,0.3349593807237332,1.2095546e10,11999.5
7060686940,0.28775317246236176,2.0267254e10,20331.5
7060687690,0.3329372196615147,7.3759713e9,7226.10009765625
7060706180,0.1443716486725421,6.4005934e9,6368.7998046875
7060721150,0.4388949566509116,7.334006e9,7283.10009765625
7060746040,0.4388777649974632,1.9372626e10,19606.30078125
7060747570,0.10449963889715591,1.0724102e10,10870.2001953125
7070013800,0.11774609652938194,3.4710497e9,3465.39990234375
7070039570,0.05089375150574279,7.883601e8,764.0
7070041650,0.14595219171947127,4.188091e9,4133.60009765625
7070041920,0.2451746090019814,3.4685844e9,3481.0
7070043740,0.6420123966631778,7.059309e9,7226.10009765625
7070045410,0.704603181253885,4.310316e9,4713.7998046875
7070045780,0.40554430053940627,5.413059e9,5387.2001953125
7070046720,0.27012020060193104,2.1481878e10,21248.400390625
7070048050,0.3372682500578652,7.4102426e9,7456.60009765625
7070111080,0.37970232371511253,4.313146e9,4250.0
7070123520,0.2259225984143353,1.2547076e9,1560.0
7070127110,0.13577201732099514,3.1922337e9,3290.0
7070174110,0.17122313501337766,2.842989e9,2875.0
7070184580,0.3162839880818005,6.359255e9,7270.0
7070242880,0.8492019570564772,3.5501642e9,3580.0
7070250410,0.08497870495740431,6.800912e9,6680.0
7070259200,0.41698673627166255,3.6437898e9,3720.0
7070263970,0.037804509330805494,3.7120325e9,3730.0
7070278150,0.436920405216136,5.9922564e7,3700.0
7070334870,0.025837703237047045,2.359295e9,2270.0
7070349370,0.11653995861579208,5.835501e9,5801.60009765625
7070374510,0.07485688671267983,1.4503972e9,1502.199951171875
7070376890,0.1311581896436956,4.9848694e9,4869.2001953125
7070382460,0.7311168748638052,4.338128e9,4291.60009765625
7070385090,0.12151806029342384,5.0741883e9,5102.2998046875
